date,account,category,amount,currency,converted amount,currency,description
09/10/2014,Наличные,Сбережения,157,UAH,157,UAH,
09/10/2014,ПриватБанк,Сбережения,759,UAH,759,UAH,
09/10/2014,Наличные,Еда,-16,UAH,-16,UAH,Чипсы
09/10/2014,Наличные,Еда,-36,UAH,-36,UAH,Сардельки
09/10/2014,Наличные,Сбережения,400,UAH,400,UAH,
10/10/2014,Гривна,Зарплата,400,UAH,400,UAH,
10/10/2014,Наличные,Еда,-30,UAH,-30,UAH,
10/10/2014,Наличные,"Кино, театр, музей",-120,UAH,-120,UAH,
11/10/2014,Наличные,Стрижка,-30,UAH,-30,UAH,
11/10/2014,Гривна,Зарплата,1 300,UAH,1 300,UAH,
11/10/2014,Гривна,Подарки,-250,UAH,-250,UAH,
11/10/2014,Гривна,Отдых,-500,UAH,-500,UAH,
11/10/2014,Гривна,To 'Наличные',-950,UAH,-950,UAH,
11/10/2014,Наличные,From 'Гривна',950,UAH,950,UAH,
11/10/2014,Наличные,Подарки,-170,UAH,-170,UAH,Цветы
11/10/2014,Наличные,Бонус,750,UAH,750,UAH,Билеты
12/10/2014,Наличные,Развлечения,-40,UAH,-40,UAH,Заезд Умань
12/10/2014,Наличные,Развлечения,-60,UAH,-60,UAH,Билеты вход
12/10/2014,Наличные,Кафе,-260,UAH,-260,UAH,Умань кафе
13/10/2014,Наличные,To 'Гривна',-1 200,UAH,-1 200,UAH,
13/10/2014,Гривна,From 'Наличные',1 200,UAH,1 200,UAH,
13/10/2014,Гривна,To 'Наличные',-200,UAH,-200,UAH,
13/10/2014,Наличные,From 'Гривна',200,UAH,200,UAH,
13/10/2014,Наличные,Еда,-14,UAH,-14,UAH,Нон-стоп. Орбит
13/10/2014,Наличные,Еда,-13,UAH,-13,UAH,Сок
13/10/2014,Наличные,Еда,-395,UAH,-395,UAH,
13/10/2014,Гривна,To 'Наличные',-200,UAH,-200,UAH,
13/10/2014,Наличные,From 'Гривна',200,UAH,200,UAH,
14/10/2014,Отдых,Сбережения,4 000,UAH,4 000,UAH,
14/10/2014,Наличные,Еда,-25,UAH,-25,UAH,Чипсы. Вишня
14/10/2014,Гривна,Зарплата,2 500,UAH,2 500,UAH,
14/10/2014,Гривна,Жилье,-2 000,UAH,-2 000,UAH,
15/10/2014,ПриватБанк,Отдых,-498,UAH,-498,UAH,Билеты
15/10/2014,Наличные,Еда,-5,UAH,-5,UAH,Дирол
16/10/2014,ПриватБанк,Бонус,800,UAH,800,UAH,Бион
16/10/2014,Наличные,Еда,-1,UAH,-1,UAH,Хлеб
17/10/2014,Гривна,To 'Наличные',-200,UAH,-200,UAH,
17/10/2014,Наличные,From 'Гривна',200,UAH,200,UAH,
17/10/2014,Наличные,Бонус,8,UAH,8,UAH,
17/10/2014,Наличные,Кафе,-52,UAH,-52,UAH,Бургер пепси
17/10/2014,Наличные,Кафе,-4,UAH,-4,UAH,Кофе
18/10/2014,Наличные,Такси,-72,UAH,-72,UAH,
19/10/2014,Отдых,Подарки,-290,UAH,-290,UAH,Мама
19/10/2014,Наличные,Другое,-10,UAH,-10,UAH,
19/10/2014,Отдых,To 'Наличные',-210,UAH,-210,UAH,
19/10/2014,Наличные,From 'Отдых',210,UAH,210,UAH,
19/10/2014,Наличные,Транспорт,-6,UAH,-6,UAH,
19/10/2014,Наличные,Кафе,-8,UAH,-8,UAH,Чай
